seed,gamma,gamma0,ratio,width,covers,true_auc,lo,hi
0,1.0,2.999294013367573,0.33341179475673055,0.0,False,0.6481424596994148,0.6516414286505295,0.6516414286505295
0,1.0894646580616199,2.999294013367573,0.36324036696835243,0.018430532152752255,True,0.6481424596994148,0.6423278250776917,0.660758357230444
0,1.1869332411653222,2.999294013367573,0.3957375421933534,0.036819527557521936,True,0.6481424596994148,0.6328394547885161,0.669658982346038
0,1.2931218177281478,2.999294013367573,0.43114206608782757,0.055125822324938456,True,0.6481424596994148,0.6231997383935216,0.6783255607184601
0,1.408810518983217,2.999294013367573,0.4697140436063554,0.07330943207152396,True,0.6481424596994148,0.6134328924468934,0.6867423245184173
0,1.5348492703376635,2.999294013367573,0.5117368499043388,0.09133004675321033,True,0.6481424596994148,0.6035657845429546,0.694895831296165
0,1.6721640354845493,2.999294013367573,0.5575192121985608,0.10915028870262389,True,0.6481424596994148,0.5936244655235233,0.7027747542261472
0,1.821763619142113,2.999294013367573,0.6073974778806889,0.12673394858095866,True,0.6481424596994148,0.5836364232958463,0.710370371876805
0,1.9847470783977608,2.999294013367573,0.6617380855467748,0.14404807483498028,True,0.6481424596994148,0.5736280897822126,0.7176761646171929
0,2.1623117971054153,2.999294013367573,0.720940257096568,0.1610582981268882,True,0.6481424596994148,0.5636287075786154,0.7246870057055036
0,2.355762282656058,2.999294013367573,0.7854389306805687,0.17773296269693062,True,0.6481424596994148,0.5536671407957197,0.7314001034926503
0,2.5665197497483434,2.999294013367573,0.8557079560421902,0.19404467306143425,True,0.6481424596994148,0.5437699430582399,0.7378146161196741
0,2.7961325615679726,2.999294013367573,0.9322635757301122,0.20996743189492872,True,0.6481424596994148,0.5339646359185007,0.7439320678134295
0,3.0462876050836125,2.999294013367573,1.0156682177561096,0.22547800961371411,True,0.6481424596994148,0.5242763532449403,0.7497543628586544
0,3.318822684029769,2.999294013367573,1.1065346275617152,0.24055831590201615,True,0.6481424596994148,0.5147273264947272,0.7552856423967433
0,3.6157400206236394,2.999294013367573,1.2055303696498656,0.2551907115583717,True,0.6481424596994148,0.5053403031624656,0.7605310147208373
0,3.9392209652084476,2.999294013367573,1.313382731953489,0.2693614956762455,True,0.6481424596994148,0.496135061392811,0.7654965570690565
0,4.291642021889985,2.999294013367573,1.430884068971744,0.2830592792307671,True,0.6481424596994148,0.4871302838319401,0.7701895630627072
0,4.675592307901251,2.999294013367573,1.5588976229281202,0.29627425269334096,True,0.6481424596994148,0.4783439143728837,0.7746181670662247
0,5.093892574963177,2.999294013367573,1.6983638657164566,0.3090025431173481,True,0.6481424596994148,0.4697885026889098,0.7787910458062579
0,5.5496159323848815,2.999294013367573,1.85030740822699,0.32124194136748024,True,0.6481424596994148,0.4614753210060886,0.7827172623735689
0,6.046110424149012,2.999294013367573,2.0158445278128996,0.3329885898947933,True,0.6481424596994148,0.4534177895124373,0.7864063794072306
0,6.5870236258483,2.999294013367573,2.1961913691990684,0.34424406361296456,True,0.6481424596994148,0.44562420878286213,0.7898682723958267
0,7.176329442178628,2.999294013367573,2.3926728790823435,0.35501137340062444,True,0.6481424596994148,0.4381014451300031,0.7931128185306275
0,7.818357301860673,2.999294013367573,2.6067325400627563,0.3652937357702568,True,0.6481424596994148,0.43085625016163953,0.7961499859318963
0,8.517823964475207,2.999294013367573,2.8399429754175687,0.3750991108760058,True,0.6481424596994148,0.42389068780005945,0.7989897986760652
0,9.27986817288605,2.999294013367573,3.0940175026278003,0.3844361887108133,True,0.6481424596994148,0.4172060737716574,0.8016422624824707
0,10.11008840583021,2.999294013367573,3.3708227205370633,0.3933128874729764,True,0.6481424596994148,0.4108042749499899,0.8041171624229663
0,11.01458400803056,2.999294013367573,3.672392222616252,0.40173942853375694,True,0.6481424596994148,0.4046846889882298,0.8064241175219867
0,12.0,2.999294013367573,4.000941537080767,0.4097292439722887,True,0.6481424596994148,0.39884326606717624,0.808572510039465
1,1.0,2.999974706559502,0.33333614373930587,0.0,False,0.6052017360750183,0.5966960924062146,0.5966960924062146
1,1.0894646580616199,2.999974706559502,0.3631579478585218,0.019633338135704004,True,0.6052017360750183,0.5868063182722829,0.6064396564079869
1,1.1869332411653222,2.999974706559502,0.395647749486044,0.039213242011281624,True,0.6052017360750183,0.5767978008004286,0.6160110428117103
1,1.2931218177281478,2.999974706559502,0.4310442401066623,0.05868719484863949,True,0.6052017360750183,0.5666990215657083,0.6253862164143478
1,1.408810518983217,2.999974706559502,0.46960746565723566,0.07800378227981508,True,0.6052017360750183,0.5565393257387283,0.6345431080185434
1,1.5348492703376635,2.999974706559502,0.5116207369954441,0.09711334074755185,True,0.6052017360750183,0.5463487869475562,0.643462127695108
